SalePrice,GrLivArea,LotArea,YearBuilt,OverallQual,BedroomAbvGr,FullBath,GarageArea,Neighborhood,HouseStyle,LotFrontage,MasVnrArea
208500,1710,8450,2003,7,3,2,548,CollgCr,2Story,65.0,196.0
181500,1262,9600,1976,6,3,2,460,Veenker,1Story,80.0,0.0
223500,1786,11250,2001,7,3,2,608,CollgCr,2Story,68.0,162.0
140000,1717,9550,1915,7,3,1,642,Crawfor,2Story,60.0,0.0
250000,2198,14260,2000,8,4,2,836,NoRidge,2Story,84.0,350.0
143000,1362,14115,1993,5,1,1,480,Mitchel,1.5Fin,85.0,0.0
307000,1694,10084,2004,8,3,2,636,Somerst,1Story,75.0,186.0
200000,2090,10382,1973,7,3,2,484,NWAmes,2Story,,240.0
129900,1774,6120,1931,7,2,2,468,OldTown,1.5Fin,51.0,0.0
118000,1077,7420,1939,5,2,1,205,BrkSide,1.5Unf,50.0,0.0
129500,1040,11200,1965,5,3,1,384,Sawyer,1Story,70.0,0.0
345000,2324,11924,2005,9,4,3,736,NridgHt,2Story,85.0,286.0
144000,912,12968,1962,5,2,1,352,Sawyer,1Story,,0.0
279500,1494,10652,2006,7,3,2,840,CollgCr,1Story,91.0,306.0
157000,1253,10920,1960,6,2,1,352,NAmes,1Story,,212.0
132000,854,6120,1929,7,2,1,576,BrkSide,1.5Unf,51.0,0.0
149000,1004,11241,1970,6,2,1,480,NAmes,1Story,,180.0
90000,1296,10791,1967,4,2,2,516,Sawyer,1Story,72.0,0.0
159000,1114,13695,2004,5,3,1,576,SawyerW,1Story,66.0,0.0
139000,1339,7560,1958,5,3,1,294,NAmes,1Story,70.0,0.0
325300,2376,14215,2005,8,4,3,853,NridgHt,2Story,101.0,380.0
139400,1108,7449,1930,7,3,1,280,IDOTRR,1.5Unf,57.0,0.0
230000,1795,9742,2002,8,3,2,534,CollgCr,1Story,75.0,281.0
129900,1060,4224,1976,5,3,1,572,MeadowV,1Story,44.0,0.0
154000,1060,8246,1968,5,3,1,270,Sawyer,1Story,,0.0
256300,1600,14230,2007,8,3,2,890,NridgHt,1Story,110.0,640.0
134800,900,7200,1951,5,3,1,576,NAmes,1Story,60.0,0.0
306000,1704,11478,2007,8,3,2,772,NridgHt,1Story,98.0,200.0
207500,1600,16321,1957,5,2,1,319,NAmes,1Story,47.0,0.0
68500,520,6324,1927,4,1,1,240,BrkSide,1Story,60.0,0.0
40000,1317,8500,1920,4,3,1,250,IDOTRR,2Story,50.0,0.0
149350,1228,8544,1966,5,3,1,271,Sawyer,1Story,,0.0
179900,1234,11049,2007,8,3,2,484,CollgCr,1Story,85.0,0.0
165500,1700,10552,1959,5,4,1,447,NAmes,1Story,70.0,0.0
277500,1561,7313,2005,9,2,2,556,NridgHt,1Story,60.0,246.0
309000,2452,13418,2004,8,4,3,691,NridgHt,2Story,108.0,132.0
145000,1097,10859,1994,5,3,1,672,CollgCr,1Story,112.0,0.0
153000,1297,8532,1954,5,3,1,498,NAmes,1Story,74.0,650.0
109000,1057,7922,1953,5,3,1,246,NAmes,1Story,68.0,0.0
82000,1152,6040,1955,4,2,2,0,Edwards,1Story,65.0,0.0
160000,1324,8658,1965,6,3,2,440,NAmes,1Story,84.0,101.0
170000,1328,16905,1959,5,2,1,308,Timber,1Story,115.0,0.0
144000,884,9180,1983,5,2,1,504,SawyerW,SFoyer,,0.0
130250,938,9200,1975,5,3,1,308,CollgCr,1Story,,0.0
141000,1150,7945,1959,5,3,1,300,NAmes,1Story,70.0,0.0
319900,1752,7658,2005,9,2,2,576,NridgHt,1Story,61.0,412.0
239686,2149,12822,2003,7,1,1,670,Mitchel,1.5Fin,48.0,0.0
249700,1656,11096,2006,8,3,2,826,Somerst,1Story,84.0,0.0
113000,1452,4456,1920,4,2,2,0,OldTown,2Story,33.0,0.0
127000,955,7742,1966,5,3,1,386,Sawyer,1Story,66.0,0.0
177000,1470,13869,1997,6,3,2,388,Gilbert,2Story,,0.0
114500,1176,6240,1934,6,3,1,528,BrkSide,1.5Fin,52.0,0.0
110000,816,8472,1963,5,2,1,516,IDOTRR,1Story,110.0,0.0
385000,1842,50271,1981,9,0,0,894,Veenker,1Story,68.0,0.0
130000,1360,7134,1955,5,3,1,572,NAmes,SLvl,60.0,0.0
180500,1425,10175,1964,6,3,2,576,NAmes,1Story,100.0,272.0
172500,1739,2645,1999,8,3,2,480,Somerst,2Story,24.0,456.0
196500,1720,11645,2004,7,3,2,565,CollgCr,2Story,89.0,0.0
438780,2945,13682,2006,10,3,3,641,StoneBr,2Story,66.0,1031.0
124900,780,7200,1972,5,2,1,352,CollgCr,1Story,60.0,0.0
158000,1158,13072,2004,6,3,1,576,SawyerW,1Story,63.0,0.0
101000,1111,7200,1920,5,3,1,288,IDOTRR,2.5Unf,60.0,0.0
202500,1370,6442,2006,8,2,2,484,NridgHt,1Story,44.0,178.0
140000,1710,10300,1921,7,3,2,480,OldTown,2Story,50.0,0.0
219500,2034,9375,1997,7,3,2,645,CollgCr,2Story,,573.0
317000,2473,9591,2004,8,4,2,852,NridgHt,2Story,76.0,344.0
180000,2207,19900,1970,7,3,2,576,NAmes,1Story,,287.0
226000,1479,10665,2003,7,3,2,558,CollgCr,1Story,72.0,167.0
80000,747,4608,1945,4,2,1,220,OldTown,1Story,47.0,0.0
225000,2287,15593,1953,7,3,2,667,ClearCr,1.5Fin,81.0,0.0
244000,2223,13651,1973,7,3,2,516,NAmes,1Story,95.0,1115.0
129500,845,7599,1982,4,2,1,360,Mitchel,1Story,69.0,0.0
185000,1718,10141,1998,7,3,2,427,Gilbert,2Story,74.0,40.0
144900,1086,10200,1954,5,3,1,490,NAmes,1Story,85.0,104.0
107400,1605,5790,1915,3,3,2,379,OldTown,2Story,60.0,0.0
91000,988,1596,1973,4,2,1,297,MeadowV,SLvl,21.0,0.0
135750,952,8475,1956,4,2,1,283,NAmes,1Story,,0.0
127000,1285,8635,1948,5,2,1,240,BrkSide,1.5Fin,50.0,0.0
136500,1768,10778,1968,4,4,2,0,Sawyer,1Story,72.0,0.0
110000,1230,10440,1910,5,2,1,440,OldTown,2Story,60.0,0.0
193500,2142,13000,1968,6,4,2,509,NAmes,2Story,100.0,576.0
153500,1337,4500,1998,6,2,2,405,Mitchel,1Story,32.0,443.0
245000,1563,10206,2007,8,3,2,758,Somerst,1Story,78.0,468.0
126500,1065,8892,1960,5,3,1,461,NAmes,1Story,80.0,66.0
168500,1474,8530,1995,7,3,2,400,Gilbert,SLvl,,22.0
260000,2417,16059,1991,8,4,2,462,NoRidge,2Story,121.0,284.0
174000,1560,11911,2005,6,3,2,400,Gilbert,2Story,122.0,0.0
164500,1224,3951,2009,6,2,2,528,Somerst,2Story,40.0,76.0
85000,1526,8470,1915,3,2,1,0,IDOTRR,1.5Fin,105.0,0.0
123600,990,8070,1994,4,3,1,0,CollgCr,1Story,60.0,0.0
109900,1040,7200,1950,4,2,1,420,NAmes,1Story,60.0,0.0
98600,1235,8500,1961,5,2,1,480,NAmes,1Story,85.0,203.0
163500,964,13360,1921,5,2,1,432,Crawfor,1Story,80.0,0.0
133900,2291,7200,1910,6,4,2,506,OldTown,2.5Unf,60.0,0.0
204750,1786,9337,1997,6,3,2,684,CollgCr,2Story,69.0,0.0
185000,1470,9765,1993,6,3,2,420,Gilbert,2Story,,68.0
214000,1588,10264,1999,7,3,2,472,CollgCr,1Story,78.0,183.0
94750,960,10921,1965,4,3,1,432,Edwards,1Story,73.0,48.0
83000,835,10625,1920,5,2,1,366,Edwards,1Story,85.0,0.0
128950,1225,9320,1959,4,3,1,0,NAmes,1Story,77.0,0.0
205000,1610,10603,1977,6,3,2,480,NWAmes,1Story,,28.0
178000,1732,9206,1985,6,3,2,476,SawyerW,2Story,77.0,336.0
118964,1535,7018,1979,5,4,2,410,SawyerW,1Story,64.0,0.0
198900,1226,10402,2009,7,3,2,740,CollgCr,1Story,94.0,0.0
169500,1818,7758,1931,7,4,1,240,IDOTRR,1.5Fin,,600.0
250000,1992,9375,2003,8,3,2,648,Somerst,2Story,75.0,768.0
100000,1047,10800,1885,4,2,1,273,OldTown,1Story,60.0,0.0
115000,789,6000,1948,5,2,1,250,OldTown,1Story,50.0,0.0
115000,1517,8500,1919,5,3,2,0,IDOTRR,1.5Fin,85.0,0.0
190000,1844,11751,1977,6,3,2,546,NWAmes,1Story,105.0,480.0
136900,1855,9525,1954,6,4,2,325,Edwards,1.5Fin,75.0,0.0
180000,1430,7750,2000,7,3,2,400,Gilbert,SLvl,,0.0
383970,2696,9965,2007,7,4,2,792,CollgCr,2Story,77.0,220.0
217000,2259,21000,1953,6,3,2,450,Crawfor,1Story,,184.0
259500,2320,7259,1945,6,3,2,180,Crawfor,2Story,61.0,0.0
176000,1458,3230,1999,6,2,2,440,Somerst,2Story,34.0,1129.0
139000,1092,11616,1962,5,3,1,288,Sawyer,1Story,,116.0
155000,1125,8536,2006,5,2,1,430,Edwards,1Story,74.0,0.0
320000,3222,12376,1990,7,5,3,594,SawyerW,2Story,90.0,0.0
163990,1456,8461,2005,6,3,2,390,CollgCr,2Story,65.0,0.0
180000,988,21453,1969,6,1,1,540,ClearCr,SLvl,,0.0
100000,1123,6060,1939,4,3,1,264,IDOTRR,1.5Fin,50.0,0.0
136000,1080,9464,1958,6,3,1,288,NAmes,1Story,75.0,135.0
153900,1199,7892,1993,6,2,2,530,SawyerW,1Story,55.0,0.0
181000,1586,17043,1979,6,3,2,435,NWAmes,1Story,48.0,0.0
84500,754,6780,1935,6,2,1,0,IDOTRR,1.5Fin,60.0,0.0
128000,958,4928,1976,6,2,2,440,NPkVill,1Story,,0.0
87000,840,4388,1930,5,3,1,0,OldTown,1.5Unf,55.0,0.0
155000,1348,7590,1966,6,3,1,453,NAmes,2Story,69.0,266.0
150000,1053,8973,1958,5,3,1,750,NAmes,1Story,69.0,85.0
226000,2157,14200,1966,7,4,2,487,NAmes,2Story,88.0,309.0
244000,2054,12224,2000,6,3,2,390,Gilbert,2Story,,40.0
150750,1327,7388,1959,5,3,1,624,NAmes,1Story,75.0,0.0
220000,1296,6853,2001,8,2,2,471,Timber,1Story,,136.0
180000,1721,10335,1968,5,3,2,440,Sawyer,1Story,78.0,0.0
174000,1682,10400,1970,7,3,2,530,NWAmes,1Story,80.0,288.0
143000,1214,10355,1967,5,3,2,318,NAmes,1Story,,196.0
171000,1959,11070,1988,7,5,3,766,Mitchel,1Story,82.0,70.0
230000,1852,9066,1999,8,3,2,660,CollgCr,2Story,73.0,320.0
231500,1764,15426,1997,6,3,2,470,CollgCr,2Story,65.0,0.0
115000,864,10500,1971,4,3,1,0,NAmes,1Story,70.0,0.0
260000,1734,11645,2005,7,3,2,660,CollgCr,1Story,78.0,0.0
166000,1385,8520,1952,5,4,2,720,NAmes,1.5Fin,71.0,0.0
204000,1501,10335,1999,7,3,2,577,CollgCr,1Story,78.0,183.0
125000,1728,9100,1963,5,6,2,504,Sawyer,1Story,70.0,336.0
130000,1709,2522,2004,6,3,2,380,Edwards,2Story,24.0,50.0
105000,875,6120,1931,5,2,1,180,BrkSide,1Story,51.0,0.0
222500,2035,9505,2001,7,3,2,434,Gilbert,2Story,,180.0
141000,1080,7500,2004,7,3,1,0,SawyerW,1Story,63.0,120.0
115000,1344,6240,1936,5,3,1,240,BrkSide,1.5Fin,,0.0
122000,969,10356,1975,5,3,1,440,CollgCr,1Story,120.0,0.0
372402,1710,13891,2007,8,2,2,866,NridgHt,1Story,107.0,436.0
190000,1993,14803,1971,6,4,2,495,NWAmes,2Story,,252.0
235000,1252,13500,1960,6,1,1,564,ClearCr,1Story,,0.0
125000,1200,11340,1923,6,4,1,312,OldTown,1Story,84.0,0.0
79000,1096,9600,1924,6,2,1,0,Edwards,1.5Fin,60.0,0.0
109500,1040,7200,1950,5,2,1,625,NAmes,1Story,60.0,0.0
269500,1968,12003,2009,8,4,2,680,Timber,2Story,92.0,84.0
254900,1947,12552,2004,7,3,2,678,Somerst,2Story,100.0,0.0
320000,2462,19378,2005,7,4,2,576,Gilbert,2Story,134.0,456.0
162500,1232,11120,1984,6,3,2,516,Veenker,1Story,,0.0
412500,2668,13688,2003,9,3,2,726,NridgHt,2Story,110.0,664.0
220000,1541,12182,2005,7,3,2,532,NridgHt,1Story,95.0,226.0
103200,882,5500,1956,4,1,1,0,OldTown,1.5Unf,55.0,0.0
152000,1616,5400,1926,6,3,2,216,OldTown,1Story,40.0,0.0
127500,1355,10106,1940,5,4,2,0,Edwards,1.5Fin,62.0,0.0
190000,1867,10708,1955,5,2,1,303,ClearCr,1Story,,0.0
325624,2161,10562,2007,8,3,1,789,NridgHt,2Story,86.0,300.0
183500,1720,8244,2004,7,3,2,440,Gilbert,2Story,62.0,0.0
228000,1707,16669,1981,8,2,2,511,Timber,1Story,,653.0
128500,1382,12358,1941,5,2,1,660,OldTown,1.5Fin,,0.0
215000,1656,31770,1960,6,3,1,528,NAmes,1Story,141.0,112.0
239000,1767,5306,1987,7,2,2,504,StoneBr,2Story,44.0,0.0
163000,1362,10197,1961,6,3,1,504,NAmes,1Story,80.0,491.0
184000,1651,12416,1986,6,3,2,616,Timber,1Story,47.0,132.0
243000,2158,12615,1950,6,4,2,576,Edwards,1Story,84.0,0.0
211000,2060,10029,1988,6,4,2,521,ClearCr,2Story,97.0,268.0
172500,1920,13650,1958,5,4,2,451,Sawyer,1.5Fin,,0.0
501837,2234,17423,2008,9,1,2,1166,StoneBr,1Story,63.0,748.0
100000,968,8520,1923,5,2,1,480,OldTown,1Story,60.0,0.0
177000,1525,2117,2000,6,3,2,440,Somerst,2Story,,456.0
200100,1802,7588,1920,7,4,1,216,Crawfor,2Story,54.0,0.0
120000,1340,9060,1957,5,3,1,252,Edwards,1Story,60.0,98.0
200000,2082,11426,2003,7,3,2,484,OldTown,1.5Fin,63.0,0.0
127000,1252,7438,1908,5,3,1,576,BrkSide,1.5Fin,92.0,0.0
475000,3608,22950,1892,10,4,2,840,OldTown,2.5Fin,90.0,0.0
173000,1217,9947,1990,7,3,2,497,Mitchel,SLvl,,0.0
135000,1656,10410,1916,5,3,2,180,OldTown,1.5Fin,60.0,0.0
153337,1224,7018,1979,5,2,0,528,SawyerW,SFoyer,64.0,275.0
286000,1593,4923,2001,8,0,1,682,StoneBr,1Story,41.0,0.0
315000,2727,10570,1932,8,3,2,440,Crawfor,2Story,70.0,0.0
184000,1479,7472,1972,7,4,1,484,NAmes,2Story,,138.0
192000,1431,9017,1999,7,3,2,666,CollgCr,1Story,68.0,0.0
130000,1709,2522,2004,7,3,2,380,Edwards,2Story,24.0,50.0
127000,864,7180,1972,5,3,1,352,CollgCr,1Story,60.0,0.0
148500,1456,2280,1976,6,3,2,440,NPkVill,2Story,24.0,0.0
311872,1726,9416,2007,7,3,2,786,Somerst,1Story,79.0,205.0
235000,3112,25419,1918,8,4,2,795,NAmes,2Story,174.0,0.0
104000,2229,5520,1912,6,5,1,0,OldTown,2.5Fin,92.0,0.0
274900,1713,9591,2004,8,3,2,856,NridgHt,1Story,76.0,262.0
140000,1121,8546,2003,4,2,2,440,Edwards,1Story,80.0,0.0
171500,1279,10125,1977,6,3,2,473,Mitchel,1Story,75.0,0.0
112000,1310,7000,1924,6,2,2,398,OldTown,1.5Fin,50.0,0.0
149000,848,4438,2004,6,1,1,420,CollgCr,1Story,,205.0
110000,1284,3500,1947,5,2,1,240,OldTown,1.5Fin,50.0,0.0
180500,1442,11851,1990,7,3,2,500,Gilbert,1Story,99.0,0.0
143900,1696,13673,1962,5,3,1,349,Sawyer,1Story,40.0,0.0
141000,1100,12493,1960,4,3,1,312,NAmes,1Story,,0.0
277000,2062,14364,1988,7,3,2,454,SawyerW,2Story,,128.0
145000,1092,8250,1964,6,3,1,504,NAmes,1Story,75.0,260.0
98000,864,5604,1925,5,2,1,0,Edwards,1Story,67.0,0.0
186000,1212,10420,2009,6,3,2,460,Edwards,1Story,83.0,0.0
252678,1852,8640,2009,7,3,2,644,Somerst,2Story,72.0,0.0
156000,990,13568,1995,5,3,1,576,CollgCr,1Story,43.0,0.0
161750,1392,10900,1977,6,3,1,299,CollgCr,2Story,,153.0
134450,1236,10011,1957,5,2,1,447,NAmes,1Story,72.0,64.0
210000,1436,8450,2004,7,3,2,484,CollgCr,1Story,65.0,266.0
107000,1328,9906,1925,4,3,1,210,OldTown,2Story,57.0,0.0
311500,1954,15660,1939,7,3,1,431,Crawfor,1.5Fin,,312.0
167240,1248,3010,2005,7,2,2,438,Blmngtn,1Story,43.0,16.0
204900,1498,8990,2006,7,2,2,675,CollgCr,1Story,73.0,0.0
200000,2267,8068,2002,6,4,2,390,Gilbert,2Story,,0.0
179900,1552,11475,1975,6,3,2,434,NWAmes,2Story,85.0,0.0
97000,864,10500,1971,4,2,1,576,NAmes,1Story,70.0,0.0
386250,2392,13472,2003,10,3,2,968,NridgHt,1Story,103.0,922.0
112000,1302,1680,1971,5,3,2,280,BrDale,2Story,21.0,142.0
290000,2520,9950,1995,7,4,2,721,NoRidge,2Story,82.0,290.0
106000,987,1869,1970,6,2,1,280,BrDale,2Story,21.0,127.0
125000,912,8521,1967,5,3,1,336,Sawyer,1Story,70.0,0.0
192500,1555,3182,2005,7,2,2,430,Blmngtn,1Story,43.0,16.0
148000,1194,8760,1959,6,3,1,312,NAmes,1Story,73.0,220.0
403000,2794,15138,1995,8,4,2,810,NoRidge,2Story,174.0,506.0
94500,987,1680,1972,6,2,1,288,BrDale,2Story,21.0,297.0
128200,894,10650,1976,5,3,1,308,CollgCr,1Story,75.0,0.0
216500,1960,7851,2002,6,4,2,440,Gilbert,2Story,,
89500,987,1680,1971,6,2,1,264,BrDale,2Story,21.0,604.0
185500,1414,8773,2004,7,3,2,494,CollgCr,1Story,65.0,98.0
194500,1744,9453,1993,7,3,2,457,SawyerW,2Story,,0.0
318000,1694,12030,2007,8,3,2,818,NridgHt,1Story,93.0,254.0
113000,1487,8741,1945,6,3,1,220,Edwards,1.5Fin,52.0,0.0
262500,1566,9000,2008,8,3,2,750,Somerst,1Story,75.0,36.0
110500,866,3880,1945,5,2,1,0,OldTown,1Story,40.0,0.0
79000,1440,5000,1900,5,3,1,352,OldTown,1.5Fin,63.0,0.0
120000,1217,10762,1980,6,3,1,288,SawyerW,2Story,75.0,0.0
205000,2110,8880,1994,7,3,2,463,SawyerW,2Story,,0.0
241500,1872,10400,1988,7,3,2,604,NWAmes,1Story,80.0,102.0
137000,1928,9142,1910,6,4,2,440,OldTown,2Story,69.0,0.0
140000,1375,11310,1954,6,2,1,451,NAmes,1Story,75.0,0.0
180000,1668,11317,2003,7,3,2,500,CollgCr,2Story,72.0,101.0
277000,2144,159000,1958,6,4,2,389,ClearCr,1.5Fin,,472.0
76500,1306,5350,1940,3,3,1,0,BrkSide,1Story,55.0,0.0
235000,1625,4750,2006,8,2,2,538,Crawfor,1Story,44.0,481.0
173000,1640,8366,2004,6,3,2,520,SawyerW,2Story,65.0,0.0
158000,1302,9350,1964,6,3,2,309,NAmes,SLvl,85.0,108.0
145000,1314,8400,1957,5,3,1,294,NAmes,1Story,70.0,0.0
230000,2291,8738,1999,7,4,2,429,Gilbert,2Story,66.0,302.0
207500,1728,8791,2003,6,3,2,673,Somerst,2Story,64.0,0.0
220000,1604,8814,2006,7,3,2,660,CollgCr,1Story,68.0,180.0
231500,1792,12435,2001,7,3,2,564,CollgCr,2Story,80.0,172.0
97000,882,12702,1956,5,2,1,308,OldTown,1Story,70.0,0.0
176000,1382,19296,1962,6,3,1,884,NAmes,SLvl,120.0,399.0
276000,2574,9588,2007,8,3,2,868,CollgCr,2Story,69.0,270.0
151000,1212,8471,1977,6,3,1,492,Sawyer,SLvl,88.0,46.0
130000,1316,5500,1929,5,3,1,484,OldTown,1.5Fin,50.0,0.0
73000,764,5232,1925,5,2,1,504,OldTown,1Story,30.0,0.0
175500,1422,12090,1981,6,3,2,576,NWAmes,1Story,78.0,210.0
185000,1511,11207,1997,6,3,2,413,Gilbert,2Story,70.0,0.0
179500,2192,8400,1939,5,4,2,240,SWISU,2.5Fin,60.0,0.0
120500,778,6900,1940,5,2,1,924,IDOTRR,1Story,71.0,0.0
148000,1113,7917,1976,6,3,1,504,Edwards,1Story,,174.0
266000,1939,10728,2006,8,3,2,1053,Somerst,2Story,84.0,0.0
241500,1363,39104,1954,7,2,1,439,ClearCr,1Story,73.0,0.0
290000,2270,11764,1999,8,4,2,671,NoRidge,2Story,92.0,348.0
139000,1632,9600,1958,6,3,2,338,NAmes,1Story,80.0,183.0
124500,816,8314,1982,5,2,1,264,Mitchel,1Story,76.0,0.0
205000,1548,7264,1925,7,3,2,672,BrkSide,1.5Fin,55.0,0.0
201000,1560,9196,2003,7,3,2,573,Mitchel,1Story,129.0,0.0
141000,864,19138,1951,4,2,1,400,Gilbert,1Story,140.0,0.0
415298,2121,14450,2006,9,3,2,732,NridgHt,1Story,107.0,315.0
192000,2022,10005,1977,7,4,2,505,ClearCr,2Story,83.0,299.0
228500,1982,11287,1989,7,3,2,575,SawyerW,2Story,82.0,340.0
185000,1262,7200,2006,6,2,2,572,Somerst,1Story,60.0,68.0
207500,1314,5063,2007,7,2,2,626,NridgHt,1Story,34.0,166.0
244600,1468,9612,2008,8,3,2,898,Somerst,1Story,74.0,72.0
179200,1575,8012,1992,6,2,2,529,SawyerW,1Story,50.0,0.0
164700,1250,4251,2006,7,2,2,528,Somerst,2Story,35.0,0.0
159000,1734,9786,1962,6,3,1,440,NAmes,1.5Fin,77.0,0.0
88000,858,8125,1971,4,3,1,0,NAmes,1Story,,0.0
122000,900,9819,1967,5,3,1,280,Sawyer,1Story,,31.0
